,symbol,date,open,close,volume,spread,up/down
288,BTC,2014-02-10,681.32,681.03,112758000.0,153.21,DOWN
289,BTC,2014-02-11,683.5,672.17,72745200.0,75.8,DOWN
290,BTC,2014-02-12,672.38,651.72,25367600.0,29.86,DOWN
291,BTC,2014-02-13,651.08,605.24,38588100.0,56.08,DOWN
292,BTC,2014-02-14,601.17,661.99,102506000.0,150.68,UP
293,BTC,2014-02-15,660.9,650.92,26709200.0,29.0,DOWN
294,BTC,2014-02-16,651.3,616.63,40061700.0,80.93,DOWN
295,BTC,2014-02-17,614.23,626.27,31948400.0,49.64,UP
296,BTC,2014-02-18,627.16,626.6,20015100.0,33.22,DOWN
297,BTC,2014-02-19,625.97,623.03,13897800.0,13.07,DOWN
298,BTC,2014-02-20,623.09,556.14,46905000.0,71.59,DOWN
299,BTC,2014-02-21,556.88,574.16,47308100.0,52.49,UP
300,BTC,2014-02-22,574.24,605.42,31254000.0,55.9,UP
301,BTC,2014-02-23,606.47,605.82,31434400.0,40.21,DOWN
302,BTC,2014-02-24,606.04,546.32,57893900.0,68.91,DOWN
303,BTC,2014-02-25,540.24,538.71,126314000.0,120.97,DOWN
304,BTC,2014-02-26,537.04,582.69,64642700.0,71.22,UP
305,BTC,2014-02-27,581.65,578.77,25540800.0,27.43,DOWN
306,BTC,2014-02-28,579.7,549.26,28076100.0,38.97,DOWN
307,BTC,2014-03-01,549.92,565.61,18668100.0,34.09,UP
308,BTC,2014-03-02,567.23,559.79,7950760.0,17.21,DOWN
309,BTC,2014-03-03,562.56,667.76,96056900.0,142.39,UP
310,BTC,2014-03-04,668.24,666.78,55344600.0,40.54,DOWN
311,BTC,2014-03-05,666.24,665.51,22461900.0,28.0,DOWN
312,BTC,2014-03-06,664.52,663.86,16068100.0,19.98,DOWN
313,BTC,2014-03-07,664.31,629.15,34150800.0,48.99,DOWN
314,BTC,2014-03-08,629.66,617.45,18654200.0,30.68,DOWN
315,BTC,2014-03-09,616.31,636.96,15396500.0,31.6,UP
